entry_id,entry_type,relative_path,symbol_or_route,current_owner,business_semantics,phase4_carrier,tracked_state,semantic_status,cleanup_disposition,target_capability,target_capability_status,golden_fixture,contract_tests,reference_scan_status,external_alias_status,delete_commit,notes
legacy:src/app/workline/domain/services/smt_inbound_handoff_route_service.py:_boundary_to_evidence,domain_object,src/app/workline/domain/services/smt_inbound_handoff_route_service.py,_boundary_to_evidence,workline,[phase4] SMT 入库业务流程,True,already-removed,semantics-covered,moved,material-flow:smt_inbound_handoff.SmtInboundHandoffIntentService,mapped,tests/architecture/test_core_plugin_test_ownership_guardrail.py,tests/contracts/workline/test_runtime_snapshot_contract.py;tests/architecture/test_core_plugin_test_ownership_guardrail.py,clean,external-contract-blocker,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。 插件专属测试已从核心移出；核心仅保留所有权边界证据，行为由对应插件包重建。
legacy:src/app/workline/domain/services/smt_inbound_handoff_route_service.py:_manifest_boundary_evidence,domain_object,src/app/workline/domain/services/smt_inbound_handoff_route_service.py,_manifest_boundary_evidence,workline,[phase4] SMT 入库业务流程,True,already-removed,semantics-covered,moved,material-flow:smt_inbound_handoff.SmtInboundHandoffIntentService,mapped,tests/architecture/test_core_plugin_test_ownership_guardrail.py,tests/contracts/workline/test_runtime_snapshot_contract.py;tests/architecture/test_core_plugin_test_ownership_guardrail.py,clean,external-contract-blocker,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。 插件专属测试已从核心移出；核心仅保留所有权边界证据，行为由对应插件包重建。
legacy:src/app/workline/domain/services/smt_inbound_handoff_route_service.py:_matching_boundaries,domain_object,src/app/workline/domain/services/smt_inbound_handoff_route_service.py,_matching_boundaries,workline,[phase4] SMT 入库业务流程,True,already-removed,semantics-covered,moved,material-flow:smt_inbound_handoff.SmtInboundHandoffIntentService,mapped,tests/architecture/test_core_plugin_test_ownership_guardrail.py,tests/contracts/workline/test_runtime_snapshot_contract.py;tests/architecture/test_core_plugin_test_ownership_guardrail.py,clean,external-contract-blocker,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。 插件专属测试已从核心移出；核心仅保留所有权边界证据，行为由对应插件包重建。
legacy:src/app/workline/domain/services/smt_inbound_handoff_route_service.py:_real_ecs_status_probe,domain_object,src/app/workline/domain/services/smt_inbound_handoff_route_service.py,_real_ecs_status_probe,workline,[phase4] SMT 入库业务流程,True,already-removed,semantics-covered,moved,material-flow:smt_inbound_handoff.SmtInboundHandoffIntentService,mapped,tests/architecture/test_core_plugin_test_ownership_guardrail.py,tests/contracts/workline/test_runtime_snapshot_contract.py;tests/architecture/test_core_plugin_test_ownership_guardrail.py,clean,external-contract-blocker,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。 插件专属测试已从核心移出；核心仅保留所有权边界证据，行为由对应插件包重建。
legacy:src/app/workline/domain/services/smt_inbound_handoff_route_service.py:_resolve_boundary_selection,domain_object,src/app/workline/domain/services/smt_inbound_handoff_route_service.py,_resolve_boundary_selection,workline,[phase4] SMT 入库业务流程,True,already-removed,semantics-covered,moved,material-flow:smt_inbound_handoff.SmtInboundHandoffIntentService,mapped,tests/architecture/test_core_plugin_test_ownership_guardrail.py,tests/contracts/workline/test_runtime_snapshot_contract.py;tests/architecture/test_core_plugin_test_ownership_guardrail.py,clean,external-contract-blocker,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。 插件专属测试已从核心移出；核心仅保留所有权边界证据，行为由对应插件包重建。
legacy:src/app/workline/domain/services/smt_inbound_handoff_route_service.py:_resolve_configured_source_boundary,domain_object,src/app/workline/domain/services/smt_inbound_handoff_route_service.py,_resolve_configured_source_boundary,workline,[phase4] SMT 入库业务流程,True,already-removed,semantics-covered,moved,material-flow:smt_inbound_handoff.SmtInboundHandoffIntentService,mapped,tests/architecture/test_core_plugin_test_ownership_guardrail.py,tests/contracts/workline/test_runtime_snapshot_contract.py;tests/architecture/test_core_plugin_test_ownership_guardrail.py,clean,external-contract-blocker,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。 插件专属测试已从核心移出；核心仅保留所有权边界证据，行为由对应插件包重建。
legacy:src/app/workline/domain/services/smt_inbound_handoff_route_service.py:_selected_boundary_evidence,domain_object,src/app/workline/domain/services/smt_inbound_handoff_route_service.py,_selected_boundary_evidence,workline,[phase4] SMT 入库业务流程,True,already-removed,semantics-covered,moved,material-flow:smt_inbound_handoff.SmtInboundHandoffIntentService,mapped,tests/architecture/test_core_plugin_test_ownership_guardrail.py,tests/contracts/workline/test_runtime_snapshot_contract.py;tests/architecture/test_core_plugin_test_ownership_guardrail.py,clean,external-contract-blocker,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。 插件专属测试已从核心移出；核心仅保留所有权边界证据，行为由对应插件包重建。
legacy:src/app/workline/domain/services/smt_inbound_handoff_route_service.py:_source_boundary_by_position,domain_object,src/app/workline/domain/services/smt_inbound_handoff_route_service.py,_source_boundary_by_position,workline,[phase4] SMT 入库业务流程,True,already-removed,semantics-covered,moved,material-flow:smt_inbound_handoff.SmtInboundHandoffIntentService,mapped,tests/architecture/test_core_plugin_test_ownership_guardrail.py,tests/contracts/workline/test_runtime_snapshot_contract.py;tests/architecture/test_core_plugin_test_ownership_guardrail.py,clean,external-contract-blocker,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。 插件专属测试已从核心移出；核心仅保留所有权边界证据，行为由对应插件包重建。
legacy:src/app/workline/domain/services/smt_inbound_handoff_route_service.py:_source_pick_device_role,domain_object,src/app/workline/domain/services/smt_inbound_handoff_route_service.py,_source_pick_device_role,workline,[phase4] SMT 入库业务流程,True,already-removed,semantics-covered,moved,external:DeviceCommandPort.dispatch,mapped,tests/contracts/workline/;tests/architecture/,tests/workline_runtime/test_runtime_intent_effect_applier.py,clean,internal-only,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。
legacy:src/app/workline/domain/services/smt_usage_policy.py:SmtUsagePolicy,domain_object,src/app/workline/domain/services/smt_usage_policy.py,SmtUsagePolicy,workline,[phase4] SMT 使用策略,True,already-removed,semantics-covered,moved,material-flow:contracts.smt_usage_policy.SmtUsagePolicy,mapped,tests/contracts/workline/;tests/architecture/,tests/contracts/test_business_legacy_absence_ledger.py,clean,internal-only,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。
legacy:src/app/workline/domain/services/smt_usage_policy.py:SmtUsageResult,domain_object,src/app/workline/domain/services/smt_usage_policy.py,SmtUsageResult,workline,[phase4] SMT 使用策略,True,already-removed,semantics-covered,moved,material-flow:contracts.smt_usage_policy.SmtUsagePolicy,mapped,tests/contracts/workline/;tests/architecture/,tests/contracts/test_business_legacy_absence_ledger.py,clean,internal-only,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。
legacy:src/app/workline/services/bin_cell_reservation_service.py:BinCellReservationResult,service,src/app/workline/services/bin_cell_reservation_service.py,BinCellReservationResult,workline,[phase4] Bin Cell 预约业务流程,True,already-removed,semantics-covered,already-removed,material-flow:bin_cell_reservation_service.WorklineBinCellReservationService,mapped,tests/contracts/workline/;tests/architecture/,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py,clean,internal-only,,tracked source 已在前序 Phase4 中移除；本 PR 只验证语义和引用面。
legacy:src/app/workline/services/bin_cell_reservation_service.py:BinCellReservationStatusCode,service,src/app/workline/services/bin_cell_reservation_service.py,BinCellReservationStatusCode,workline,[phase4] Bin Cell 预约业务流程,True,already-removed,semantics-covered,already-removed,material-flow:bin_cell_reservation_service.WorklineBinCellReservationService,mapped,tests/contracts/workline/;tests/architecture/,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py,clean,internal-only,,tracked source 已在前序 Phase4 中移除；本 PR 只验证语义和引用面。
legacy:src/app/workline/services/bin_cell_reservation_service.py:WorklineBinCellReservationService,service,src/app/workline/services/bin_cell_reservation_service.py,WorklineBinCellReservationService,workline,[phase4] Bin Cell 预约业务流程,True,already-removed,semantics-covered,already-removed,material-flow:bin_cell_reservation_service.WorklineBinCellReservationService,mapped,tests/contracts/workline/;tests/architecture/,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py,clean,internal-only,,tracked source 已在前序 Phase4 中移除；本 PR 只验证语义和引用面。
legacy:src/app/workline/services/ng_return_item_service.py:NgMaterialConflictError,service,src/app/workline/services/ng_return_item_service.py,NgMaterialConflictError,workline,[phase4] NG 退货/处理业务流程,True,already-removed,semantics-covered,already-removed,material-flow:ng_return_item_service.NgReturnItemService,mapped,tests/contracts/workline/;tests/architecture/,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py;tests/contracts/workline/test_runtime_hold_contract.py,clean,internal-only,,tracked source 已在前序 Phase4 中移除；本 PR 只验证语义和引用面。
legacy:src/app/workline/services/ng_return_item_service.py:NgReturnItemService,service,src/app/workline/services/ng_return_item_service.py,NgReturnItemService,workline,[phase4] NG 退货/处理业务流程,True,already-removed,semantics-covered,already-removed,material-flow:ng_return_item_service.NgReturnItemService,mapped,tests/contracts/workline/;tests/architecture/,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py;tests/contracts/workline/test_runtime_hold_contract.py,clean,internal-only,,tracked source 已在前序 Phase4 中移除；本 PR 只验证语义和引用面。
legacy:src/app/workline/services/ng_return_item_service.py:_as_dict,service,src/app/workline/services/ng_return_item_service.py,_as_dict,workline,[phase4] NG 退货/处理业务流程,True,already-removed,semantics-covered,already-removed,material-flow:ng_return_item_service.NgReturnItemService,mapped,tests/contracts/workline/;tests/architecture/,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py;tests/contracts/workline/test_runtime_hold_contract.py,clean,internal-only,,tracked source 已在前序 Phase4 中移除；本 PR 只验证语义和引用面。
legacy:src/app/workline/services/ng_return_item_service.py:_as_non_empty_str,service,src/app/workline/services/ng_return_item_service.py,_as_non_empty_str,workline,[phase4] NG 退货/处理业务流程,True,already-removed,semantics-covered,already-removed,material-flow:ng_return_item_service.NgReturnItemService,mapped,tests/contracts/workline/;tests/architecture/,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py;tests/contracts/workline/test_runtime_hold_contract.py,clean,internal-only,,tracked source 已在前序 Phase4 中移除；本 PR 只验证语义和引用面。
legacy:src/app/workline/services/smt_inbound_handoff_service.py:SmtInboundHandoffService,service,src/app/workline/services/smt_inbound_handoff_service.py,SmtInboundHandoffService,workline,[phase4] SMT 入库业务流程,True,already-removed,semantics-covered,already-removed,material-flow:smt_inbound_handoff.SmtInboundHandoffIntentService,mapped,tests/architecture/test_core_plugin_test_ownership_guardrail.py,tests/contracts/workline/test_runtime_snapshot_contract.py;tests/architecture/test_core_plugin_test_ownership_guardrail.py,clean,external-contract-blocker,,tracked source 已在前序 Phase4 中移除；本 PR 只验证语义和引用面。 插件专属测试已从核心移出；核心仅保留所有权边界证据，行为由对应插件包重建。
legacy:src/app/workline/services/start_admission_service.py:StartAdmissionResult,service,src/app/workline/services/start_admission_service.py,StartAdmissionResult,workline,[phase4] Start Admission 业务流程,True,already-removed,semantics-covered,already-removed,material-flow:start_admission_service.WorkLineStartAdmissionService,mapped,tests/contracts/workline/;tests/architecture/,tests/contracts/workline/test_start_admission_contract.py,clean,internal-only,,tracked source 已在前序 Phase4 中移除；本 PR 只验证语义和引用面。
legacy:src/app/workline/services/start_admission_service.py:StartAdmissionStatusFetchResult,service,src/app/workline/services/start_admission_service.py,StartAdmissionStatusFetchResult,workline,[phase4] Start Admission 业务流程,True,already-removed,semantics-covered,already-removed,material-flow:start_admission_service.WorkLineStartAdmissionService,mapped,tests/contracts/workline/;tests/architecture/,tests/contracts/workline/test_start_admission_contract.py,clean,internal-only,,tracked source 已在前序 Phase4 中移除；本 PR 只验证语义和引用面。
legacy:src/app/workline/services/start_admission_service.py:StartAdmissionStatusTarget,service,src/app/workline/services/start_admission_service.py,StartAdmissionStatusTarget,workline,[phase4] Start Admission 业务流程,True,already-removed,semantics-covered,already-removed,material-flow:start_admission_service.WorkLineStartAdmissionService,mapped,tests/contracts/workline/;tests/architecture/,tests/contracts/workline/test_start_admission_contract.py,clean,internal-only,,tracked source 已在前序 Phase4 中移除；本 PR 只验证语义和引用面。
legacy:src/app/workline/services/start_admission_service.py:WorkLineStartAdmissionService,service,src/app/workline/services/start_admission_service.py,WorkLineStartAdmissionService,workline,[phase4] Start Admission 业务流程,True,already-removed,semantics-covered,already-removed,material-flow:start_admission_service.WorkLineStartAdmissionService,mapped,tests/contracts/workline/;tests/architecture/,tests/contracts/workline/test_start_admission_contract.py,clean,internal-only,,tracked source 已在前序 Phase4 中移除；本 PR 只验证语义和引用面。
legacy:src/app/workline/services/station_lease_service.py:StationLeaseReasonCode,service,src/app/workline/services/station_lease_service.py,StationLeaseReasonCode,workline,[phase4] Station Lease 业务流程,True,already-removed,semantics-covered,moved,material-flow:station_lease_service.WorklineStationLeaseService,mapped,tests/contracts/workline/;tests/architecture/,tests/workline_runtime/test_material_location_query_service.py;tests/architecture/test_core_plugin_test_ownership_guardrail.py,clean,internal-only,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。 插件专属测试已从核心移出；核心仅保留所有权边界证据，行为由对应插件包重建。
legacy:src/app/workline/services/station_lease_service.py:StationLeaseResult,service,src/app/workline/services/station_lease_service.py,StationLeaseResult,workline,[phase4] Station Lease 业务流程,True,already-removed,semantics-covered,moved,material-flow:station_lease_service.WorklineStationLeaseService,mapped,tests/contracts/workline/;tests/architecture/,tests/workline_runtime/test_material_location_query_service.py;tests/architecture/test_core_plugin_test_ownership_guardrail.py,clean,internal-only,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。 插件专属测试已从核心移出；核心仅保留所有权边界证据，行为由对应插件包重建。
legacy:src/app/workline/services/station_lease_service.py:WorklineStationLeaseService,service,src/app/workline/services/station_lease_service.py,WorklineStationLeaseService,workline,[phase4] Station Lease 业务流程,True,already-removed,semantics-covered,moved,material-flow:station_lease_service.WorklineStationLeaseService,mapped,tests/contracts/workline/;tests/architecture/,tests/workline_runtime/test_material_location_query_service.py;tests/architecture/test_core_plugin_test_ownership_guardrail.py,clean,internal-only,8c833610c08005005406b3a774c92519f69b7886,业务语义已迁入 src/app/runtime/capabilities/material_flow/ 目标态合同或 service，旧 WorkLine path 已删除。 插件专属测试已从核心移出；核心仅保留所有权边界证据，行为由对应插件包重建。
legacy:tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py:test_claim_conflict_persists_reconciling_and_keeps_cell_frozen,test,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py,test_claim_conflict_persists_reconciling_and_keeps_cell_frozen,workline_runtime,[phase4] Bin Cell 预约业务流程,True,test-only,semantics-covered,kept-config-only,material-flow:bin_cell_reservation_service.WorklineBinCellReservationService,mapped,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py;tests/contracts/workline/test_runtime_hold_contract.py,allowed-reference-only,internal-only,,保留为目标态 runtime contract/regression test，不再验证旧 plugin import surface。
legacy:tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py:test_claim_preserves_correlation_and_provider_evidence_in_idempotency_scope,test,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py,test_claim_preserves_correlation_and_provider_evidence_in_idempotency_scope,workline_runtime,[phase4] Bin Cell 预约业务流程,True,test-only,semantics-covered,kept-config-only,material-flow:bin_cell_reservation_service.WorklineBinCellReservationService,mapped,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py,allowed-reference-only,internal-only,,保留为目标态 runtime contract/regression test，不再验证旧 plugin import surface。
legacy:tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py:test_owner_mismatch_persists_reconciling_and_keeps_cell_frozen,test,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py,test_owner_mismatch_persists_reconciling_and_keeps_cell_frozen,workline_runtime,[phase4] Bin Cell 预约业务流程,True,test-only,semantics-covered,kept-config-only,material-flow:bin_cell_reservation_service.WorklineBinCellReservationService,mapped,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py;tests/contracts/workline/test_runtime_hold_contract.py,allowed-reference-only,internal-only,,保留为目标态 runtime contract/regression test，不再验证旧 plugin import surface。
legacy:tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py:test_reconciling_reservation_cannot_be_released_by_normal_failure_path,test,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py,test_reconciling_reservation_cannot_be_released_by_normal_failure_path,workline_runtime,[phase4] Bin Cell 预约业务流程,True,test-only,semantics-covered,kept-config-only,material-flow:bin_cell_reservation_service.WorklineBinCellReservationService,mapped,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py;tests/contracts/workline/test_runtime_hold_contract.py,allowed-reference-only,internal-only,,保留为目标态 runtime contract/regression test，不再验证旧 plugin import surface。
legacy:tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py:test_ttl_release_only_expires_planned_reservations,test,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py,test_ttl_release_only_expires_planned_reservations,workline_runtime,[phase4] Bin Cell 预约业务流程,True,test-only,semantics-covered,kept-config-only,material-flow:bin_cell_reservation_service.WorklineBinCellReservationService,mapped,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py,tests/workline_runtime/test_bin_cell_reservation_target_lifecycle.py,allowed-reference-only,internal-only,,保留为目标态 runtime contract/regression test，不再验证旧 plugin import surface。
